KEGG	Cpd	Formula	Mass	Exact Mass	MetaboAnalyst
C00001	H2O	H2O	18.0106	18.010564	Water
C00002	ATP	C10H16N5O13P3	506.9957	506.995746	Adenosine triphosphate
C00003	NAD+	C21H28N7O14P2	664.1169	664.116947	NADH
C00004	NADH	C21H29N7O14P2	665.1248	665.124772	NADH
C00005	NADPH	C21H30N7O17P3	745.0911	745.091103	NADPH
C00006	NADP+	C21H29N7O17P3	744.0833	744.083278	NADPH
C00007	Oxygen	O2	31.9898	31.989829	Oxygen
C00008	ADP	C10H15N5O10P2	427.0294	427.029415	ADP
C00009	Orthophosphate	H3PO4	97.9769	97.976895	Phosphate
C00010	CoA	C21H36N7O16P3S	767.1152	767.11521	Coenzyme A
C00011	CO2	CO2	43.9898	43.989829	Carbon dioxide
C00012	Peptide	C2H4NO2R(C2H2NOR)n			Peptide
C00013	Diphosphate	H4P2O7	177.9432	177.943226	Pyrophosphate
C00014	Ammonia	NH3	17.0265	17.026549	Ammonia
C00015	UDP	C9H14N2O12P2	404.0022	404.002197	Uridine 5'-diphosphate
C00016	FAD	C27H33N9O15P2	785.1571	785.157135	FAD
C00017	Protein	C2H4NO2R(C2H2NOR)n			Protein
C00018	Pyridoxal phosphate	C8H10NO6P	247.0246	247.024574	Pyridoxal 5'-phosphate
C00019	S-Adenosyl-L-methionine	C15H22N6O5S	398.1372	398.137239	S-Adenosylmethionine
C00020	AMP	C10H14N5O7P	347.0631	347.063084	Adenosine monophosphate
C00021	S-Adenosyl-L-homocysteine	C14H20N6O5S	384.1216	384.121588	S-Adenosylhomocysteine
C00022	Pyruvate	C3H4O3	88.016	88.016043	Pyruvic acid
C00023	Iron	Fe	55.9349	55.934936	
C00024	Acetyl-CoA	C23H38N7O17P3S	809.1258	809.125774	Acetyl-CoA
C00025	L-Glutamate	C5H9NO4	147.0532	147.053157	L-Glutamic acid
C00026	2-Oxoglutarate	C5H6O5	146.0215	146.021523	Oxoglutaric acid
C00027	Hydrogen peroxide	H2O2	34.0055	34.005479	Hydrogen peroxide
C00028	Acceptor				
C00029	UDP-glucose	C15H24N2O17P2	566.055	566.055021	Uridine diphosphate glucose
C00030	Reduced acceptor				
C00031	D-Glucose	C6H12O6	180.0634	180.063388	
C00032	Heme	C34H32FeN4O4	616.1773	616.177291	Heme
C00033	Acetate	C2H4O2	60.0211	60.021129	Acetic acid
C00034	Manganese	Mn	54.9381	54.938043	
C00035	GDP	C10H15N5O11P2	443.0243	443.02433	Guanosine diphosphate
C00036	Oxaloacetate	C4H4O5	132.0059	132.005873	Oxalacetic acid
C00037	Glycine	C2H5NO2	75.032	75.032028	Glycine
C00038	Zinc cation	Zn	63.9291	63.929142	Zinc (II) ion
C00039	DNA	C10H17O8PR2(C5H8O5PR)n			DNA
C00040	Acyl-CoA	C22H35N7O17P3SR			Acyl-CoA
C00041	L-Alanine	C3H7NO2	89.0477	89.047678	L-Alanine
C00042	Succinate	C4H6O4	118.0266	118.026608	Succinic acid
C00043	UDP-N-acetyl-alpha-D-glucosamine	C17H27N3O17P2	607.0816	607.08157	Uridine diphosphate-N-acetylglucosamine
C00044	GTP	C10H16N5O14P3	522.9907	522.990661	Guanosine triphosphate
C00045	Amino acid	C2H4NO2R			
C00046	RNA	C10H18O13P2R2(C5H8O6PR)n			RNA
C00047	L-Lysine	C6H14N2O2	146.1055	146.105527	L-Lysine
C00048	Glyoxylate	C2H2O3	74.0004	74.000393	Glyoxylic acid
C00049	L-Aspartate	C4H7NO4	133.0375	133.037507	L-Aspartic acid
C00050	Metal				
C00051	Glutathione	C10H17N3O6S	307.0838	307.083806	Glutathione
C00052	UDP-alpha-D-galactose	C15H24N2O17P2	566.055	566.055021	Uridine diphosphategalactose
C00053	3'-Phosphoadenylyl sulfate	C10H15N5O13P2S	506.9862	506.98623	Phosphoadenosine phosphosulfate
C00054	Adenosine 3',5'-bisphosphate	C10H15N5O10P2	427.0294	427.029415	Adenosine 3',5'-diphosphate
C00055	CMP	C9H14N3O8P	323.0519	323.051851	Cytidine monophosphate
C00058	Formate	CH2O2	46.0055	46.005479	Formic acid
C00059	Sulfate	H2SO4	97.9674	97.967379	Sulfate
C00060	Carboxylate	CO2R			Carboxylate
C00061	FMN	C17H21N4O9P	456.1046	456.104615	Flavin Mononucleotide
C00062	L-Arginine	C6H14N4O2	174.1117	174.111675	L-Arginine
C00063	CTP	C9H16N3O14P3	482.9845	482.984513	Cytidine triphosphate
C00064	L-Glutamine	C5H10N2O3	146.0691	146.069142	L-Glutamine
C00065	L-Serine	C3H7NO3	105.0426	105.042593	L-Serine
C00066	tRNA	C10H17O10PR2(C5H8O6PR)n			tRNA
C00067	Formaldehyde	CH2O	30.0106	30.010564	Formaldehyde
C00068	Thiamin diphosphate	C12H19N4O7P2S	425.045	425.044969	Thiamine pyrophosphate
C00069	Alcohol	HOR			
C00070	Copper	Cu	62.9296	62.929597	Copper
C00071	Aldehyde	CHOR			
C00072	Ascorbate	C6H8O6	176.0321	176.032087	Ascorbate
C00073	L-Methionine	C5H11NO2S	149.051	149.051049	L-Methionine
C00074	Phosphoenolpyruvate	C3H5O6P	167.9824	167.982374	Phosphoenolpyruvic acid
C00075	UTP	C9H15N2O15P3	483.9685	483.968528	Uridine triphosphate
C00076	Calcium cation	Ca	39.9626	39.96259	Calcium
C00077	L-Ornithine	C5H12N2O2	132.0899	132.089877	Ornithine
C00078	L-Tryptophan	C11H12N2O2	204.0899	204.089877	L-Tryptophan
C00079	L-Phenylalanine	C9H11NO2	165.079	165.078978	L-Phenylalanine
C00080	H+	H	1.0078	1.007825	Hydrogen Ion
